id,route,toll,median,female,age3050,distance,householdsize,high_income,med_income,occupanc,trans
1000169,1,3.25,-4.152752,1,1,34.58,2,1,0,1,1
1000187,0,3.25,-4.849391,0,1,26.44,1,0,0,1,0
1000201,1,1.625,-4.849391,0,1,24.09,5,0,1,3,1
1000209,0,2.9,-3.243314,0,0,26.46,7,0,0,1,0
1000282,1,2.9,-2.24618,0,1,45.88,3,0,1,1,1
1000412,0,3.25,-5.615552,0,1,37.07,4,0,0,1,0
1000438,1,1.45,-1.583941,1,1,26.85,6,0,1,3,1
1000445,0,3.25,-4.594528,1,0,33.12,3,0,0,1,0
1000468,0,1.65,-0.3577151,0,1,43.61,4,0,1,1,0
1000479,0,2.9,-1.871945,0,0,33.69,1,0,1,1,1
1000499,1,3.25,-5.392725,1,1,33.44,3,0,0,2,1
1000551,0,1.65,-0.1348974,0,0,35.04,2,0,0,1,0
1000644,0,3.25,-3.887441,0,0,34.21,1,0,1,1,0
1000664,1,1.95,-1.169607,0,0,24.1,2,1,0,1,1
1000685,1,0.825,-0.783162,1,1,20.51,4,0,0,3,1
1000727,0,3,-4.002799,0,1,28.06,2,0,1,1,0
1000739,1,1.95,-1.206373,1,0,51.53,1,0,0,1,1
1000808,0,1.65,-0.2124101,0,0,37.58,2,0,1,1,0
1000818,1,1.65,-0.2027345,0,1,35.65,4,0,1,2,1
1000831,0,1.95,-0.9206871,0,1,16.51,2,0,1,1,0
1000853,0,3,-3.82081,0,0,27.58,3,0,1,2,0
1000856,0,1.95,-0.9849447,0,1,30.72,4,1,0,1,1
1000934,1,3,-1.073091,1,0,42.46,2,0,1,1,1
1000948,0,3,-3.955039,0,1,28.59,5,0,0,1,0
1000966,0,2.9,-3.477957,0,0,26.27,3,0,0,1,0
1000979,1,1.95,-1.025752,1,1,24.66,4,0,1,2,1
1000982,1,3,-3.76112,1,1,45.72,7,0,1,1,1
1001014,0,2.9,-1.419181,0,1,22.92,6,0,0,1,0
1001023,1,2.9,-3.750007,0,1,42.93,5,1,0,1,1
1001054,0,1.95,-1.257859,1,0,40.54,2,1,0,2,1
1001096,0,0.975,-0.9106594,0,1,64.61,4,0,1,3,0
1001149,1,3,-3.806324,1,0,26.96,2,0,1,1,1
1001190,0,3,-3.798334,1,0,16.51,2,0,1,2,0
1001192,0,1.65,-0.767866,0,1,36.98,4,0,1,1,1
1001246,0,3,-4.553531,0,0,28.73,4,1,0,1,1
1001279,0,1.95,-0.9504179,0,1,29.13,4,1,0,1,1
1001285,0,2.9,-2.127987,1,0,22.53,2,0,0,1,0
1001288,0,3,-3.76112,1,0,13.1,2,0,0,1,0
1001423,0,2.9,-3.243314,0,0,28.68,4,0,0,1,0
1001425,0,3.25,-5.435291,0,1,36.04,3,0,0,1,1
1001465,0,1.45,-3.666497,1,0,25.2,3,0,0,3,1
1001491,1,3,-3.959366,1,1,36.76,4,0,1,1,1
1001556,0,2.9,-1.165325,0,1,11.77,4,0,1,1,1
1001578,1,3,-4.422228,1,1,15.82,3,1,0,1,1
1001665,0,2.9,-3.497128,0,0,16.51,7,0,1,1,0
1001672,0,3,-3.76112,0,1,24.69,3,1,0,1,1
1001687,0,2.9,-1.22931,1,1,20.8,2,0,1,1,0
